*ERROR* 	2016/01/11 - 02:10:00: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/0 home_default/0.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:00: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/4 home_default/4.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:01: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Uninitialized%20string%20offset:%200%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Uninitialized%20string%20offset:%200%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/ home_default/.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:01: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/2 home_default/2.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:01: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/1 home_default/1.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:01: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/n home_default/n.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:02: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/3 home_default/3.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:02: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/%3C home_default/%3C.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:02: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/b home_default/b.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:03: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/j home_default/j.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
*ERROR* 	2016/01/11 - 02:10:03: You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplug' at line 1<br /><br /><pre>select a.id_tag ,a.name,b.catagory from ps_tag a LEFT JOIN px_tag_extra b on a.id_tag =b.id_tag where a.`name` = '%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'link_rewrite'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3E%3Cbr%20/%3E%3Cb%3EWarning%3C/b%3E:%20%20Illegal%20string%20offset%20'id_image'%20in%20%3Cb%3ED:/Documents/GitHub/uniwigs2016/tools/smarty/sysplugins/smarty_internal_templatebase.php(171)%20:%20eval()'d%20code%3C/b%3E%20on%20line%20%3Cb%3E139%3C/b%3E%3Cbr%20/%3Ehttp://www.prestashop run.com/J home_default/J.jpg' LIMIT 1</pre> at line 791 in file classes/db/Db.php
